"Nom géographique";"Abréviation du nom du genre de région géographique";"Population, 2021";"Population, 2016";"Variation en pourcentage de la population, 2016 à 2021";"Total des logements privés, 2021";"Total des logements privés, 2016";"Variation en pourcentage du total des logements privés, 2016 à 2021";"Logements privés occupés par des résidents habituels, 2021";"Logements privés occupés par des résidents habituels, 2016";"Variation en pourcentage des logements privés occupés par des résidents habituels, 2016 à 2021";"Superficie des terres en kilomètres carrés, 2021";"Densité de population au kilomètre carré, 2021";"Classement national de la population, 2021";"Classement provincial et territorial de la population, 2021"
"Canada";"Pays";"36 991 981";"35 151 728";"5,2";"16 284 235";"15 412 443";"5,7";"14 978 941";"14 072 079";"6,4";"8 788 702,80";"4,2";"...";"..."
"Québec";"PR";"8 501 833";"8 164 361";"4,1";"4 050 164";"3 858 943";"5,0";"3 749 035";"3 531 663";"6,2";"1 298 599,75";"6,5";"...";"..."
"Amos";"V";"12 675";"12 823";"-1,2";"6 051";"5 910";"2,4";"5 760";"5 628";"2,3";"429,04";"29,5";"341";"90"
"Barraute";"MÉ";"1 986";"1 968";"0,9";"1 012";"953";"6,2";"930";"895";"3,9";"493,04";"4,0";"1 388";"408"
"Berry";"MÉ";"535";"538";"-0,6";"283";"264";"7,2";"232";"215";"7,9";"575,07";"0,9";"2 859";"901"
"Champneuf";"MÉ";"94";"123";"-23,6";"54";"55";"-1,8";"48";"53";"-9,4";"241,32";"0,4";"4 290";"1 152"
"La Corne";"MÉ";"778";"719";"8,2";"382";"318";"20,1";"322";"294";"9,5";"308,13";"2,5";"2 397";"767"
"La Morandière";"MÉ";"205";"207";"-1,0";"111";"108";"2,8";"98";"96";"2,1";"407,35";"0,5";"3 852";"1 115"
"La Motte";"MÉ";"478";"453";"5,5";"264";"256";"3,1";"222";"203";"9,4";"175,48";"2,7";"2 989";"941"
"Lac-Chicobi";"NO";"161";"136";"18,4";"81";"77";"5,2";"71";"63";"12,7";"716,01";"0,2";"4 006";"1 134"
"Lac-Despinassy";"NO";"21";"10";"110,0";"12";"10";"20,0";"11";"8";"37,5";"1 848,65";"0,0";"4 652";"1 174"
"Landrienne";"CT";"897";"967";"-7,2";"410";"400";"2,5";"398";"388";"2,6";"275,93";"3,3";"2 247";"709"
"Launay";"CT";"211";"218";"-3,2";"99";"118";"-16,1";"97";"100";"-3,0";"257,80";"0,8";"3 831";"1 112"
"Pikogan";"IRI";"540";"538";"0,4";"165";"160";"3,1";"158";"159";"-0,6";"1,00";"537,4";"2 848";"898"
"Preissac";"MÉ";"914";"835";"9,5";"527";"521";"1,2";"430";"391";"10,0";"422,13";"2,2";"2 229";"701"
"Rochebaucourt";"MÉ";"146";"131";"11,5";"70";"70";"0,0";"66";"64";"3,1";"183,63";"0,8";"4 075";"1 140"
"Saint-Dominique-du-Rosaire";"MÉ";"434";"450";"-3,6";"205";"197";"4,1";"193";"185";"4,3";"479,89";"0,9";"3 093";"971"
"Saint-Félix-de-Dalquier";"MÉ";"1 026";"940";"9,1";"414";"397";"4,3";"405";"374";"8,3";"113,15";"9,1";"2 082";"653"
"Saint-Marc-de-Figuery";"PE";"868";"834";"4,1";"386";"356";"8,4";"352";"323";"9,0";"80,79";"10,7";"2 283";"722"
"Saint-Mathieu-d'Harricana";"MÉ";"770";"739";"4,2";"349";"332";"5,1";"318";"299";"6,4";"105,86";"7,3";"2 410";"773"
"Sainte-Gertrude-Manneville";"MÉ";"793";"787";"0,8";"325";"314";"3,5";"311";"305";"2,0";"316,46";"2,5";"2 378";"757"
"Trécesson";"CT";"1 232";"1 223";"0,7";"584";"558";"4,7";"519";"486";"6,8";"196,89";"6,3";"1 867";"572"
"Authier";"MÉ";"290";"268";"8,2";"134";"125";"7,2";"129";"113";"14,2";"142,22";"2,0";"3 544";"1 067"
"Authier-Nord";"MÉ";"288";"300";"-4,0";"159";"164";"-3,0";"128";"121";"5,8";"278,05";"1,0";"3 550";"1 070"
"Chazel";"MÉ";"254";"289";"-12,1";"131";"132";"-0,8";"118";"126";"-6,3";"133,55";"1,9";"3 662";"1 087"
"Clermont";"CT";"484";"492";"-1,6";"218";"214";"1,9";"200";"194";"3,1";"156,66";"3,1";"2 981";"936"
"Clerval";"MÉ";"373";"371";"0,5";"291";"296";"-1,7";"180";"174";"3,4";"99,17";"3,8";"3 265";"1 015"
"Duparquet";"V";"716";"666";"7,5";"389";"389";"0,0";"342";"324";"5,6";"121,17";"5,9";"2 492";"791"
"Dupuy";"MÉ";"940";"931";"1,0";"414";"403";"2,7";"395";"394";"0,3";"122,43";"7,7";"2 194";"688"
"Gallichan";"MÉ";"488";"468";"4,3";"304";"292";"4,1";"229";"207";"10,6";"73,61";"6,6";"2 972";"931"
"La Reine";"MÉ";"307";"339";"-9,4";"164";"171";"-4,1";"142";"152";"-6,6";"97,63";"3,1";"3 486";"1 054"
"La Sarre";"V";"7 358";"7 282";"1,0";"3 698";"3 643";"1,5";"3 493";"3 409";"2,5";"148,36";"49,6";"564";"138"
"Lac-Duparquet";"NO";"0";"0";"...";"0";"0";"...";"0";"0";"...";"113,66";"0,0";"4 831";"1 194"
"Macamic";"V";"2 744";"2 751";"-0,3";"1 188";"1 179";"0,8";"1 142";"1 089";"4,9";"202,05";"13,6";"1 114";"302"
"Normétal";"MÉ";"778";"808";"-3,7";"378";"415";"-8,9";"361";"376";"-4,0";"55,25";"14,1";"2 397";"767"
"Palmarolle";"MÉ";"1 386";"1 409";"-1,6";"649";"647";"0,3";"595";"577";"3,1";"117,87";"11,8";"1 752";"533"
"Poularies";"MÉ";"662";"682";"-2,9";"285";"288";"-1,0";"274";"270";"1,5";"168,19";"3,9";"2 600";"828"
"Rapide-Danseur";"MÉ";"380";"328";"15,9";"209";"195";"7,2";"161";"143";"12,6";"173,73";"2,2";"3 246";"1 008"
"Rivière-Ojima";"NO";"60";"86";"-30,2";"39";"53";"-26,4";"32";"40";"-20,0";"354,47";"0,2";"4 454";"1 160"
"Roquemaure";"MÉ";"409";"395";"3,5";"215";"215";"0,0";"185";"175";"5,7";"120,02";"3,4";"3 154";"987"
"Saint-Lambert";"PE";"191";"194";"-1,5";"95";"93";"2,2";"89";"87";"2,3";"99,81";"1,9";"3 887";"1 119"
"Sainte-Germaine-Boulé";"MÉ";"941";"986";"-4,6";"398";"421";"-5,5";"384";"408";"-5,9";"110,04";"8,6";"2 193";"687"
"Sainte-Hélène-de-Mancebourg";"PE";"410";"373";"9,9";"185";"177";"4,5";"159";"154";"3,2";"68,15";"6,0";"3 151";"986"
"Taschereau";"MÉ";"898";"963";"-6,7";"460";"460";"0,0";"425";"425";"0,0";"246,97";"3,6";"2 246";"708"
"Val-Saint-Gilles";"MÉ";"169";"157";"7,6";"79";"81";"-2,5";"70";"68";"2,9";"109,39";"1,5";"3 980";"1 131"
"Acton Vale";"V";"7 605";"7 656";"-0,7";"3 628";"3 594";"0,9";"3 479";"3 367";"3,3";"91,01";"83,6";"536";"132"
"Béthanie";"MÉ";"350";"322";"8,7";"155";"153";"1,3";"142";"131";"8,4";"47,01";"7,4";"3 347";"1 026"
"Roxton";"CT";"1 115";"1 086";"2,7";"483";"494";"-2,2";"445";"454";"-2,0";"148,93";"7,5";"1 983";"611"
"Roxton Falls";"VL";"1 322";"1 305";"1,3";"641";"613";"4,6";"615";"591";"4,1";"4,94";"267,7";"1 795";"554"
"Saint-Nazaire-d'Acton";"PE";"880";"884";"-0,5";"374";"371";"0,8";"361";"355";"1,7";"58,04";"15,2";"2 267";"718"
"Saint-Théodore-d'Acton";"MÉ";"1 564";"1 519";"3,0";"642";"630";"1,9";"620";"587";"5,6";"82,82";"18,9";"1 626";"493"
"Sainte-Christine";"PE";"772";"730";"5,8";"341";"334";"2,1";"313";"296";"5,7";"92,12";"8,4";"2 406";"770"
"Upton";"MÉ";"2 046";"2 092";"-2,2";"921";"912";"1,0";"869";"856";"1,5";"54,77";"37,4";"1 364";"398"
"Baie-des-Chaloupes";"NO";"0";"0";"...";"0";"0";"...";"0";"0";"...";"890,15";"0,0";"4 831";"1 194"
"Chute-Saint-Philippe";"MÉ";"1 039";"942";"10,3";"876";"854";"2,6";"513";"454";"13,0";"298,64";"3,5";"2 064";"645"
"Ferme-Neuve";"MÉ";"2 716";"2 706";"0,4";"1 453";"1 388";"4,7";"1 276";"1 215";"5,0";"786,19";"3,5";"1 126";"307"
"Kiamika";"MÉ";"790";"757";"4,4";"508";"508";"0,0";"391";"358";"9,2";"337,53";"2,3";"2 380";"759"
"L'Ascension";"MÉ";"899";"791";"13,7";"880";"877";"0,3";"488";"412";"18,4";"334,82";"2,7";"2 243";"706"
"La Macaza";"MÉ";"1 094";"1 150";"-4,9";"997";"1 043";"-4,4";"509";"473";"7,6";"161,42";"6,8";"2 005";"623"
"Lac-Akonapwehikan";"NO";"0";"0";"...";"0";"0";"...";"0";"0";"...";"7,54";"0,0";"4 831";"1 194"
"Lac-Bazinet";"NO";"0";"0";"...";"1";"0";"...";"0";"0";"...";"1 536,22";"0,0";"4 831";"1 194"
"Lac-De La Bidière";"NO";"0";"0";"...";"0";"0";"...";"0";"0";"...";"1 530,44";"0,0";"4 831";"1 194"
"Lac-Douaire";"NO";"5";"5";"0,0";"0";"1";"-100,0";"0";"1";"-100,0";"1 957,99";"0,0";"4 760";"1 187"
"Lac-Ernest";"NO";"0";"0";"...";"0";"0";"...";"0";"0";"...";"339,30";"0,0";"4 831";"1 194"
"Lac-Marguerite";"NO";"0";"0";"...";"0";"0";"...";"0";"0";"...";"803,59";"0,0";"4 831";"1 194"
"Lac-Oscar";"NO";"0";"0";"...";"0";"0";"...";"0";"0";"...";"1 667,85";"0,0";"4 831";"1 194"
"Lac-Saguay";"VL";"526";"459";"14,6";"447";"457";"-2,2";"280";"241";"16,2";"171,88";"3,1";"2 880";"905"
"Lac-Saint-Paul";"MÉ";"525";"481";"9,1";"423";"409";"3,4";"275";"243";"13,2";"170,72";"3,1";"2 881";"906"
"Lac-Wagwabika";"NO";"0";"0";"...";"0";"0";"...";"0";"0";"...";"4,13";"0,0";"4 831";"1 194"
"Lac-de-la-Maison-de-Pierre";"NO";"0";"0";"...";"0";"0";"...";"0";"0";"...";"472,88";"0,0";"4 831";"1 194"
"Lac-de-la-Pomme";"NO";"0";"0";"...";"0";"0";"...";"0";"0";"...";"50,27";"0,0";"4 831";"1 194"
"Lac-des-Écorces";"MÉ";"2 885";"2 734";"5,5";"1 669";"1 649";"1,2";"1 363";"1 266";"7,7";"144,30";"20,0";"1 076";"288"
"Lac-du-Cerf";"MÉ";"445";"435";"2,3";"458";"466";"-1,7";"245";"236";"3,8";"71,73";"6,2";"3 064";"965"
"Mont-Laurier";"V";"14 180";"14 116";"0,5";"7 223";"6 890";"4,8";"6 698";"6 370";"5,1";"587,42";"24,1";"305";"78"
"Mont-Saint-Michel 3";"MÉ";"581";"576";"0,9";"382";"424";"-9,9";"280";"267";"4,9";"138,16";"4,2";"2 749";"871"
"Nominingue";"MÉ";"2 255";"2 137";"5,5";"1 937";"1 937";"0,0";"1 176";"1 044";"12,6";"303,89";"7,4";"1 275";"368"
"Notre-Dame-de-Pontmain";"MÉ";"790";"782";"1,0";"746";"776";"-3,9";"411";"378";"8,7";"259,90";"3,0";"2 380";"759"
"Notre-Dame-du-Laus";"MÉ";"1 730";"1 558";"11,0";"1 924";"1 966";"-2,1";"932";"791";"17,8";"849,10";"2,0";"1 526";"458"
"Rivière-Rouge";"V";"4 631";"4 322";"7,1";"3 082";"3 053";"0,9";"2 328";"2 137";"8,9";"451,43";"10,3";"773";"195"
"Saint-Aimé-du-Lac-des-Îles";"MÉ";"815";"790";"3,2";"481";"486";"-1,0";"375";"339";"10,6";"161,61";"5,0";"2 344";"746"
"Sainte-Anne-du-Lac";"MÉ";"556";"575";"-3,3";"422";"364";"15,9";"299";"285";"4,9";"320,73";"1,7";"2 805";"883"
"Brownsburg-Chatham";"V";"7 247";"7 122";"1,8";"3 783";"3 726";"1,5";"3 282";"3 094";"6,1";"244,46";"29,6";"569";"141"
"Gore";"CT";"2 283";"1 904";"19,9";"1 615";"1 542";"4,7";"1 124";"904";"24,3";"90,04";"25,4";"1 265";"361"
"Grenville";"VL";"1 816";"1 711";"6,1";"951";"862";"10,3";"903";"792";"14,0";"2,82";"644,6";"1 464";"431"
"Grenville-sur-la-Rouge";"MÉ";"2 883";"2 824";"2,1";"1 808";"1 916";"-5,6";"1 376";"1 306";"5,4";"313,61";"9,2";"1 079";"290"
"Harrington";"CT";"967";"846";"14,3";"1 339";"1 379";"-2,9";"543";"457";"18,8";"233,65";"4,1";"2 149";"671"
"Lachute 4";"V";"14 100";"12 862";"9,6";"6 862";"6 403";"7,2";"6 531";"5 983";"9,2";"108,66";"129,8";"306";"79"
"Mille-Isles";"MÉ";"1 721";"1 567";"9,8";"950";"907";"4,7";"756";"685";"10,4";"58,73";"29,3";"1 532";"462"
"Saint-André-d'Argenteuil 4";"MÉ";"3 053";"3 020";"1,1";"1 490";"1 558";"-4,4";"1 330";"1 302";"2,2";"97,69";"31,3";"1 029";"270"
"Wentworth";"CT";"682";"533";"28,0";"802";"788";"1,8";"378";"266";"42,1";"85,03";"8,0";"2 559";"814"
"Chesterville";"MÉ";"877";"922";"-4,9";"422";"416";"1,4";"363";"358";"1,4";"116,72";"7,5";"2 269";"719"
"Daveluyville 5";"V";"2 360";"2 255";"4,7";"1 154";"1 097";"5,2";"1 077";"998";"7,9";"61,71";"38,2";"1 242";"352"
"Ham-Nord";"CT";"857";"869";"-1,4";"446";"437";"2,1";"393";"363";"8,3";"103,98";"8,2";"2 296";"727"
"Kingsey Falls";"V";"1 986";"1 947";"2,0";"837";"813";"3,0";"800";"756";"5,8";"69,36";"28,6";"1 388";"408"
"Maddington Falls";"MÉ";"428";"413";"3,6";"228";"226";"0,9";"213";"196";"8,7";"23,82";"18,0";"3 104";"975"
