,Nom,Type,Pop21,Pop16,Km2
0,Canada,Pays,36991981.0,35151728.0,8788702.8
1,Québec,PR,8501833.0,8164361.0,1298599.75
2,Amos,V,12675.0,12823.0,429.04
3,Barraute,MÉ,1986.0,1968.0,493.04
4,Berry,MÉ,535.0,538.0,575.07
5,Champneuf,MÉ,94.0,123.0,241.32
6,La Corne,MÉ,778.0,719.0,308.13
7,La Morandière,MÉ,205.0,207.0,407.35
8,La Motte,MÉ,478.0,453.0,175.48
9,Lac-Chicobi,NO,161.0,136.0,716.01
10,Lac-Despinassy,NO,21.0,10.0,1848.65
11,Landrienne,CT,897.0,967.0,275.93
12,Launay,CT,211.0,218.0,257.8
13,Pikogan,IRI,540.0,538.0,1.0
14,Preissac,MÉ,914.0,835.0,422.13
15,Rochebaucourt,MÉ,146.0,131.0,183.63
16,Saint-Dominique-du-Rosaire,MÉ,434.0,450.0,479.89
17,Saint-Félix-de-Dalquier,MÉ,1026.0,940.0,113.15
18,Saint-Marc-de-Figuery,PE,868.0,834.0,80.79
19,Saint-Mathieu-d'Harricana,MÉ,770.0,739.0,105.86
20,Sainte-Gertrude-Manneville,MÉ,793.0,787.0,316.46
21,Trécesson,CT,1232.0,1223.0,196.89
22,Authier,MÉ,290.0,268.0,142.22
23,Authier-Nord,MÉ,288.0,300.0,278.05
24,Chazel,MÉ,254.0,289.0,133.55
25,Clermont,CT,484.0,492.0,156.66
26,Clerval,MÉ,373.0,371.0,99.17
27,Duparquet,V,716.0,666.0,121.17
28,Dupuy,MÉ,940.0,931.0,122.43
29,Gallichan,MÉ,488.0,468.0,73.61
30,La Reine,MÉ,307.0,339.0,97.63
31,La Sarre,V,7358.0,7282.0,148.36
32,Lac-Duparquet,NO,0.0,0.0,113.66
33,Macamic,V,2744.0,2751.0,202.05
34,Normétal,MÉ,778.0,808.0,55.25
35,Palmarolle,MÉ,1386.0,1409.0,117.87
36,Poularies,MÉ,662.0,682.0,168.19
37,Rapide-Danseur,MÉ,380.0,328.0,173.73
38,Rivière-Ojima,NO,60.0,86.0,354.47
39,Roquemaure,MÉ,409.0,395.0,120.02
40,Saint-Lambert,PE,191.0,194.0,99.81
41,Sainte-Germaine-Boulé,MÉ,941.0,986.0,110.04
42,Sainte-Hélène-de-Mancebourg,PE,410.0,373.0,68.15
43,Taschereau,MÉ,898.0,963.0,246.97
44,Val-Saint-Gilles,MÉ,169.0,157.0,109.39
45,Acton Vale,V,7605.0,7656.0,91.01
46,Béthanie,MÉ,350.0,322.0,47.01
47,Roxton,CT,1115.0,1086.0,148.93
48,Roxton Falls,VL,1322.0,1305.0,4.94
49,Saint-Nazaire-d'Acton,PE,880.0,884.0,58.04
50,Saint-Théodore-d'Acton,MÉ,1564.0,1519.0,82.82
51,Sainte-Christine,PE,772.0,730.0,92.12
52,Upton,MÉ,2046.0,2092.0,54.77
53,Baie-des-Chaloupes,NO,0.0,0.0,890.15
54,Chute-Saint-Philippe,MÉ,1039.0,942.0,298.64
55,Ferme-Neuve,MÉ,2716.0,2706.0,786.19
56,Kiamika,MÉ,790.0,757.0,337.53
57,L'Ascension,MÉ,899.0,791.0,334.82
58,La Macaza,MÉ,1094.0,1150.0,161.42
59,Lac-Akonapwehikan,NO,0.0,0.0,7.54
60,Lac-Bazinet,NO,0.0,0.0,1536.22
61,Lac-De La Bidière,NO,0.0,0.0,1530.44
62,Lac-Douaire,NO,5.0,5.0,1957.99
63,Lac-Ernest,NO,0.0,0.0,339.3
64,Lac-Marguerite,NO,0.0,0.0,803.59
65,Lac-Oscar,NO,0.0,0.0,1667.85
66,Lac-Saguay,VL,526.0,459.0,171.88
67,Lac-Saint-Paul,MÉ,525.0,481.0,170.72
68,Lac-Wagwabika,NO,0.0,0.0,4.13
69,Lac-de-la-Maison-de-Pierre,NO,0.0,0.0,472.88
70,Lac-de-la-Pomme,NO,0.0,0.0,50.27
71,Lac-des-Écorces,MÉ,2885.0,2734.0,144.3
72,Lac-du-Cerf,MÉ,445.0,435.0,71.73
73,Mont-Laurier,V,14180.0,14116.0,587.42
74,Mont-Saint-Michel 3,MÉ,581.0,576.0,138.16
75,Nominingue,MÉ,2255.0,2137.0,303.89
76,Notre-Dame-de-Pontmain,MÉ,790.0,782.0,259.9
77,Notre-Dame-du-Laus,MÉ,1730.0,1558.0,849.1
78,Rivière-Rouge,V,4631.0,4322.0,451.43
79,Saint-Aimé-du-Lac-des-Îles,MÉ,815.0,790.0,161.61
80,Sainte-Anne-du-Lac,MÉ,556.0,575.0,320.73
81,Brownsburg-Chatham,V,7247.0,7122.0,244.46
82,Gore,CT,2283.0,1904.0,90.04
83,Grenville,VL,1816.0,1711.0,2.82
84,Grenville-sur-la-Rouge,MÉ,2883.0,2824.0,313.61
85,Harrington,CT,967.0,846.0,233.65
86,Lachute 4,V,14100.0,12862.0,108.66
87,Mille-Isles,MÉ,1721.0,1567.0,58.73
88,Saint-André-d'Argenteuil 4,MÉ,3053.0,3020.0,97.69
89,Wentworth,CT,682.0,533.0,85.03
90,Chesterville,MÉ,877.0,922.0,116.72
91,Daveluyville 5,V,2360.0,2255.0,61.71
92,Ham-Nord,CT,857.0,869.0,103.98
93,Kingsey Falls,V,1986.0,1947.0,69.36
94,Maddington Falls,MÉ,428.0,413.0,23.82
95,Notre-Dame-de-Ham,MÉ,414.0,411.0,31.05
96,Saint-Albert,MÉ,1640.0,1601.0,69.43
97,Saint-Christophe-d'Arthabaska,PE,3111.0,3021.0,68.96
98,Saint-Louis-de-Blandford,MÉ,1076.0,1011.0,104.36
99,Saint-Norbert-d'Arthabaska,MÉ,1247.0,1157.0,102.98
100,Saint-Rosaire,PE,932.0,843.0,109.53
101,Saint-Rémi-de-Tingwick,MÉ,446.0,458.0,72.97
102,Saint-Samuel,MÉ,765.0,744.0,43.21
